Feature,Importance
PointsDifference,0.13568123655625405
RankDifference,0.11853155480030216
WinRateDifference,0.07758630421233613
SurfaceWinRateDifference,0.07088430888971668
Player2Points,0.05552255027334354
Player1Points,0.051362100335986004
Player1Rank,0.047184976851262286
Player2Rank,0.04691923152386629
ExperienceDifference,0.044414136404850375
Player2WinRateBefore,0.036895916088381414
Player1WinRateBefore,0.03606820128468272
Player1SurfaceWinRateBefore,0.03407911830614346
Player2SurfaceWinRateBefore,0.031435632251727366
Player2SurfaceMatchesBefore,0.028950121137967102
Player2MatchesBefore,0.027819124863325197
Player1SurfaceMatchesBefore,0.027199605170747817
Player1MatchesBefore,0.02706722449967918
Recent5WinRateDifference,0.020470926521384977
Player2DaysSinceLastMatch,0.018975693088925424
Player1DaysSinceLastMatch,0.018502670856228202
Player1Recent5WinRate,0.009529158369368186
Player2Recent5WinRate,0.009316815899198127
Player1H2HWinRateBefore,0.006825729560060666
Player2H2HWinRateBefore,0.006509747209044237
DifferenceH2HWinRateBefore,0.006508908277769374
H2HMatchesBefore,0.005759006767449112
